MuestraControl,LoteLabID,FechaReporte,MuestraID,Cu ppm
STD10,131,30-03-14,70730,427
STD10,132,30-03-14,70893,423
STD10,132,30-03-14,70930,434
STD10,132,30-03-14,70865,427
STD10,80,31-03-14,9130,429
STD10,80,31-03-14,9165,427
STD10,80,31-03-14,9193,429
STD10,80,31-03-14,9093,427
STD10,133,31-03-14,75930,424
STD10,133,31-03-14,75893,425
STD10,133,31-03-14,75865,425
STD10,134,31-03-14,71065,429
STD10,134,31-03-14,71030,425
STD10,134,31-03-14,70993,425
STD10,134,31-03-14,70965,424
STD10,44,04-04-14,2865,433
STD10,44,04-04-14,2830,425
STD10,44,04-04-14,2793,427
STD10,44,04-04-14,2765,419
STD10,135,05-04-14,75965,425
STD10,135,05-04-14,76065,425
STD10,135,05-04-14,75993,423
STD10,135,05-04-14,76030,423
STD10,81,06-04-14,10493,427
STD10,81,06-04-14,10465,425
STD10,81,06-04-14,10430,425
STD10,82,07-04-14,10593,429
STD10,82,07-04-14,10565,422
STD10,82,07-04-14,10630,427
STD10,82,07-04-14,10530,427
STD10,136,07-04-14,76193,427
STD10,136,07-04-14,76093,424
STD10,136,07-04-14,76130,425
STD10,136,07-04-14,76165,425
STD10,83,08-04-14,10665,422
STD10,83,08-04-14,10693,423
STD10,137,08-04-14,71093,425
STD10,137,08-04-14,71130,427
STD10,137,08-04-14,71165,423
STD10,137,08-04-14,71193,427
STD10,84,09-04-14,10865,424
STD10,84,09-04-14,10765,424
STD10,84,09-04-14,10793,427
STD10,84,09-04-14,10830,422
STD10,85,10-04-14,10993,431
STD10,85,10-04-14,10965,425
STD10,85,10-04-14,10930,429
STD10,85,10-04-14,10893,425
STD10,138,10-04-14,71265,427
STD10,138,10-04-14,71230,425
STD10,139,10-04-14,80093,425
STD10,139,10-04-14,80030,425
STD10,139,10-04-14,80065,425
STD10,86,11-04-14,11065,423
STD10,86,11-04-14,11093,429
STD10,86,11-04-14,11030,434
STD10,140,12-04-14,80130,431
STD10,140,12-04-14,80165,429
STD10,140,12-04-14,80193,425
STD10,140,12-04-14,80230,424
STD10,141,12-04-14,80265,429
STD10,141,12-04-14,80293,425
STD10,141,12-04-14,80330,429
STD10,87,13-04-14,11193,426
STD10,87,13-04-14,11130,425
STD10,87,13-04-14,11230,429
STD10,87,13-04-14,11165,429
STD10,88,13-04-14,11293,424
STD10,88,13-04-14,11265,422
STD10,88,13-04-14,11330,429
STD10,142,13-04-14,80365,429
STD10,89,14-04-14,9230,431
STD10,89,14-04-14,9293,425
STD10,89,14-04-14,9265,425
STD10,90,14-04-14,9430,431
STD10,90,14-04-14,9365,423
STD10,90,14-04-14,9330,431
STD10,90,14-04-14,9393,425
STD10,91,15-04-14,9493,427
STD10,91,15-04-14,9465,431
STD10,91,15-04-14,9530,433
STD10,92,16-04-14,9593,425
STD10,92,16-04-14,9565,429
STD10,92,16-04-14,9630,433
STD10,92,16-04-14,9665,431
STD10,93,16-04-14,9730,427
STD10,93,16-04-14,9693,423
STD10,93,16-04-14,9765,425
STD10,93,16-04-14,9793,429
STD10,94,17-04-14,11393,425
STD10,94,17-04-14,11430,423
STD10,94,17-04-14,11465,425
STD10,94,17-04-14,11365,424
STD10,95,17-04-14,11530,425
STD10,95,17-04-14,11565,422
STD10,95,17-04-14,11593,425
STD10,96,18-04-14,11665,425
STD10,96,18-04-14,11693,416
STD10,96,18-04-14,11630,422
STD10,97,18-04-14,11730,427
STD10,97,18-04-14,11793,423
STD10,97,18-04-14,11765,423
STD10,97,18-04-14,11830,423
STD10,98,19-04-14,11893,427
STD10,98,19-04-14,11930,421
STD10,98,19-04-14,11865,422
STD10,99,19-04-14,9830,427
STD10,99,19-04-14,9893,427
STD10,99,19-04-14,9865,425
STD10,100,20-04-14,9965,423
STD10,100,20-04-14,9993,423
STD10,100,20-04-14,9930,425
STD10,101,20-04-14,15065,429
STD10,101,20-04-14,15130,425
STD10,101,20-04-14,15093,424
STD10,102,21-04-14,15265,425
STD10,102,21-04-14,15230,423
STD10,102,21-04-14,15193,425
STD10,102,21-04-14,15165,421
STD10,103,21-04-14,15365,431
STD10,103,21-04-14,15293,431
STD10,103,21-04-14,15330,429
STD10,103,21-04-14,15393,424
STD10,104,22-04-14,15465,432
STD10,104,22-04-14,15430,429
STD10,104,22-04-14,15493,432
STD10,105,22-04-14,11993,432
STD10,105,22-04-14,12065,431
STD10,105,22-04-14,12030,436
STD10,105,22-04-14,11965,432
STD10,106,23-04-14,12193,425
STD10,106,23-04-14,12165,421
STD10,106,23-04-14,12093,427
STD10,106,23-04-14,12130,423
STD10,107,23-04-14,12293,432
STD10,107,23-04-14,12265,435
STD10,107,23-04-14,12230,431
STD10,108,24-04-14,12365,436
STD10,108,24-04-14,12430,431
STD10,108,24-04-14,12330,431
STD10,108,24-04-14,12393,435
STD10,109,24-04-14,12530,429
STD10,109,24-04-14,12493,426
STD10,109,24-04-14,12465,427
STD10,110,25-04-14,12593,429
STD10,110,25-04-14,12565,431
STD10,110,25-04-14,12630,431
STD10,110,25-04-14,12665,427
STD10,111,25-04-14,15530,424
STD10,111,25-04-14,15630,429
STD10,111,25-04-14,15593,428
STD10,111,25-04-14,15565,431
STD10,112,26-04-14,15693,431
STD10,112,26-04-14,15730,425
STD10,112,26-04-14,15665,425
STD10,113,26-04-14,15765,425
STD10,113,26-04-14,15793,425
STD10,113,26-04-14,15830,431
STD10,113,26-04-14,15865,423
STD10,114,27-04-14,15993,427
STD10,114,27-04-14,15965,429
STD10,114,27-04-14,15930,432
STD10,114,27-04-14,15893,431
